t_mono,dev_t,seg_id,t_stm_ms,Fx_raw,Fy_raw,Fz_raw,Tx_raw,Ty_raw,Tz_raw,Fx,Fy,Fz,Tx,Ty,Tz,force_count,torque_count
342844.359046,100240,0,100240,-0.006812,-0.009731,-9.283704,-0.000202,-0.000265,0.0,-0.006812,-0.009731,-9.283704,-0.000202,-0.000265,0.0,12,12
342844.379223,100260,0,100260,0.002868,0.007163,-9.287913,-0.0004,-0.000343,0.0,0.002868,0.007163,-9.287913,-0.0004,-0.000343,0.0,13,13
342844.399356,100280,0,100280,0.001173,-0.024528,-9.295411,0.000613,-0.00032,0.0,0.001173,-0.024528,-9.295411,0.000613,-0.00032,0.0,14,14
342844.419038,100300,0,100300,-0.016227,-0.01157,-9.316588,-9.1e-05,-8e-05,0.0,-0.016227,-0.01157,-9.316588,-9.1e-05,-8e-05,0.0,15,15
342844.439301,100320,0,100320,-0.021624,0.012661,-9.307775,-0.000294,0.000451,0.0,-0.021624,0.012661,-9.307775,-0.000294,0.000451,0.0,16,16
342844.45927,100340,0,100340,-0.016789,0.005389,-9.29964,0.000803,-1.9e-05,0.0,-0.016789,0.005389,-9.29964,0.000803,-1.9e-05,0.0,17,17
342844.47898,100360,0,100360,-0.004792,-0.010518,-9.300979,-0.00027,-0.000475,0.0,-0.004792,-0.010518,-9.300979,-0.00027,-0.000475,0.0,18,18
342844.499053,100380,0,100380,0.019441,0.006277,-9.29366,0.000171,8.9e-05,0.0,0.019441,0.006277,-9.29366,0.000171,8.9e-05,0.0,19,19
342844.519209,100400,0,100400,0.002224,-0.005059,-9.28785,0.000338,0.000443,0.0,0.002224,-0.005059,-9.28785,0.000338,0.000443,0.0,20,20
342844.539221,100420,0,100420,0.004395,0.012525,-9.306954,-0.000238,-3.5e-05,0.0,0.004395,0.012525,-9.306954,-0.000238,-3.5e-05,0.0,21,21
342844.558889,100440,0,100440,-0.012291,-0.01062,-9.291259,-0.000165,-0.000692,0.0,-0.012291,-0.01062,-9.291259,-0.000165,-0.000692,0.0,22,22
342844.578815,100460,0,100460,0.002445,0.000569,-9.316873,0.000223,-5.6e-05,0.0,0.002445,0.000569,-9.316873,0.000223,-5.6e-05,0.0,23,23
342844.598925,100480,0,100480,0.008845,-0.026793,-9.311781,0.000375,5.4e-05,0.0,0.008845,-0.026793,-9.311781,0.000375,5.4e-05,0.0,24,24
342844.619208,100500,0,100500,0.005543,0.003156,-9.312369,0.000511,-0.000134,0.0,0.005543,0.003156,-9.312369,0.000511,-0.000134,0.0,25,25
342844.639055,100520,0,100520,-0.003401,-7.8e-05,-9.311479,0.000864,0.000636,0.0,-0.003401,-7.8e-05,-9.311479,0.000864,0.000636,0.0,26,26
342844.659235,100540,0,100540,-0.002643,-0.022755,-9.313704,0.000191,-0.000108,0.0,-0.002643,-0.022755,-9.313704,0.000191,-0.000108,0.0,27,27
342844.678947,100560,0,100560,-0.027658,0.016836,-9.294196,0.000193,0.000186,0.0,-0.027658,0.016836,-9.294196,0.000193,0.000186,0.0,28,28
342844.698944,100580,0,100580,0.016174,-0.006956,-9.294561,7.9e-05,-0.000364,0.0,0.016174,-0.006956,-9.294561,7.9e-05,-0.000364,0.0,29,29
342844.718877,100600,0,100600,-0.012977,-0.006018,-9.299174,-0.000127,0.000314,0.0,-0.012977,-0.006018,-9.299174,-0.000127,0.000314,0.0,30,30
342844.739086,100620,0,100620,-0.007773,-0.001762,-9.303721,-2.1e-05,-1.7e-05,0.0,-0.007773,-0.001762,-9.303721,-2.1e-05,-1.7e-05,0.0,31,31
342844.758812,100640,0,100640,0.00276,0.00184,-9.304329,0.000889,-0.000178,0.0,0.00276,0.00184,-9.304329,0.000889,-0.000178,0.0,32,32
342844.778834,100660,0,100660,-0.018422,0.022497,-9.309022,-0.000335,-0.000374,0.0,-0.018422,0.022497,-9.309022,-0.000335,-0.000374,0.0,33,33
342844.799011,100680,0,100680,-0.011616,-0.014951,-9.302303,0.000267,0.000235,0.0,-0.011616,-0.014951,-9.302303,0.000267,0.000235,0.0,34,34
342844.818946,100700,0,100700,0.007658,-0.007609,-9.29672,-0.000267,0.000331,0.0,0.007658,-0.007609,-9.29672,-0.000267,0.000331,0.0,35,35
342844.839234,100720,0,100720,-0.010456,0.006236,-9.288862,-0.000112,-0.000358,0.0,-0.010456,0.006236,-9.288862,-0.000112,-0.000358,0.0,36,36
342844.859063,100740,0,100740,-0.008753,0.00313,-9.293633,0.000242,0.000369,0.0,-0.008753,0.00313,-9.293633,0.000242,0.000369,0.0,37,37
342844.879283,100760,0,100760,0.001231,0.000858,-9.283517,-0.000747,-0.000311,0.0,0.001231,0.000858,-9.283517,-0.000747,-0.000311,0.0,38,38
342844.899152,100780,0,100780,-0.021366,0.00451,-9.292064,0.000466,-0.000466,0.0,-0.021366,0.00451,-9.292064,0.000466,-0.000466,0.0,39,39
342844.919275,100800,0,100800,-0.003358,-0.003718,-9.342752,-0.000162,-0.001047,0.0,-0.003358,-0.003718,-9.342752,-0.000162,-0.001047,0.0,40,40
342844.939148,100820,0,100820,0.010458,-0.00336,-9.308606,0.000228,-5e-06,0.0,0.010458,-0.00336,-9.308606,0.000228,-5e-06,0.0,41,41
342844.959288,100840,0,100840,0.006491,-0.013202,-9.303604,0.000148,0.000104,0.0,0.006491,-0.013202,-9.303604,0.000148,0.000104,0.0,42,42
342844.979009,100860,0,100860,-0.006228,0.032669,-9.277605,0.000571,0.000416,0.0,-0.006228,0.032669,-9.277605,0.000571,0.000416,0.0,43,43
342844.998781,100880,0,100880,0.002988,-0.002039,-9.285392,0.000391,0.000188,0.0,0.002988,-0.002039,-9.285392,0.000391,0.000188,0.0,44,44
342845.018954,100900,0,100900,0.010823,-0.006468,-9.294812,-0.00027,0.000202,0.0,0.010823,-0.006468,-9.294812,-0.00027,0.000202,0.0,45,45
342845.038888,100920,0,100920,0.003434,0.000403,-9.291354,-0.000193,-0.000418,0.0,0.003434,0.000403,-9.291354,-0.000193,-0.000418,0.0,46,46
342845.05903,100940,0,100940,-0.009346,0.002966,-9.318842,-5.7e-05,-3e-06,0.0,-0.009346,0.002966,-9.318842,-5.7e-05,-3e-06,0.0,47,47
342845.079259,100960,0,100960,-0.015692,0.01405,-9.287442,-0.000295,-0.000311,0.0,-0.015692,0.01405,-9.287442,-0.000295,-0.000311,0.0,48,48
342845.098949,100980,0,100980,0.004179,0.015405,-9.302998,0.000206,1.2e-05,0.0,0.004179,0.015405,-9.302998,0.000206,1.2e-05,0.0,49,49
342845.118926,101000,0,101000,0.018345,-0.002144,-9.292316,-0.000321,-7.6e-05,0.0,0.018345,-0.002144,-9.292316,-0.000321,-7.6e-05,0.0,50,50
342845.139072,101020,0,101020,0.029136,-0.002956,-9.312211,0.00035,-0.000286,0.0,0.029136,-0.002956,-9.312211,0.00035,-0.000286,0.0,51,51
342845.15929,101040,0,101040,-0.0088,0.001221,-9.303508,0.000216,6.8e-05,0.0,-0.0088,0.001221,-9.303508,0.000216,6.8e-05,0.0,52,52
342845.17908,101060,0,101060,-0.008788,0.006121,-9.29833,-0.000142,8.4e-05,0.0,-0.008788,0.006121,-9.29833,-0.000142,8.4e-05,0.0,53,53
342845.198954,101080,0,101080,-0.007385,0.017731,-9.309058,-0.000828,-0.000228,0.0,-0.007385,0.017731,-9.309058,-0.000828,-0.000228,0.0,54,54
342845.219229,101100,0,101100,-0.003941,-0.012025,-9.314402,-0.000188,0.000556,0.0,-0.003941,-0.012025,-9.314402,-0.000188,0.000556,0.0,55,55
342845.239231,101120,0,101120,-0.008144,-0.008324,-9.29842,0.000507,-8.2e-05,0.0,-0.008144,-0.008324,-9.29842,0.000507,-8.2e-05,0.0,56,56
342845.258894,101140,0,101140,0.002029,-3e-06,-9.303213,-0.000128,0.00036,0.0,0.002029,-3e-06,-9.303213,-0.000128,0.00036,0.0,57,57
342845.279038,101160,0,101160,-0.00156,-0.015872,-9.289802,3.4e-05,-0.000162,0.0,-0.00156,-0.015872,-9.289802,3.4e-05,-0.000162,0.0,58,58
342845.299288,101180,0,101180,-0.024264,0.026387,-9.285059,-4.3e-05,0.000622,0.0,-0.024264,0.026387,-9.285059,-4.3e-05,0.000622,0.0,59,59
342845.318853,101200,0,101200,0.004736,0.02205,-9.283637,0.000281,-0.000231,0.0,0.004736,0.02205,-9.283637,0.000281,-0.000231,0.0,60,60
342845.339022,101220,0,101220,0.0054,0.008869,-9.270286,0.000246,2.8e-05,0.0,0.0054,0.008869,-9.270286,0.000246,2.8e-05,0.0,61,61
342845.35881,101240,0,101240,0.007926,-0.002688,-9.288082,0.000145,0.00019,0.0,0.007926,-0.002688,-9.288082,0.000145,0.00019,0.0,62,62
342845.37885,101260,0,101260,0.010464,0.020874,-9.284627,0.000877,0.000203,0.0,0.010464,0.020874,-9.284627,0.000877,0.000203,0.0,63,63
342845.399255,101280,0,101280,0.010096,0.010089,-9.282818,-0.000293,0.000275,0.0,0.010096,0.010089,-9.282818,-0.000293,0.000275,0.0,64,64
342845.419009,101300,0,101300,-0.014101,0.000138,-9.286843,-0.000116,-0.000212,0.0,-0.014101,0.000138,-9.286843,-0.000116,-0.000212,0.0,65,65
342845.439289,101320,0,101320,-0.016518,0.025948,-9.289247,0.000535,-0.000394,0.0,-0.016518,0.025948,-9.289247,0.000535,-0.000394,0.0,66,66
342845.459207,101340,0,101340,0.001503,-0.000908,-9.300368,0.00063,0.000261,0.0,0.001503,-0.000908,-9.300368,0.00063,0.000261,0.0,67,67
342845.479356,101360,0,101360,-0.00433,-0.021333,-9.288689,0.000138,6.1e-05,0.0,-0.00433,-0.021333,-9.288689,0.000138,6.1e-05,0.0,68,68
342845.498833,101380,0,101380,0.000539,0.003414,-9.296011,0.000691,6.7e-05,0.0,0.000539,0.003414,-9.296011,0.000691,6.7e-05,0.0,69,69
342845.518961,101400,0,101400,0.006211,0.01041,-9.295022,0.000423,0.000419,0.0,0.006211,0.01041,-9.295022,0.000423,0.000419,0.0,70,70
342845.539216,101420,0,101420,0.011527,-0.008255,-9.295095,-0.000485,-0.000243,0.0,0.011527,-0.008255,-9.295095,-0.000485,-0.000243,0.0,71,71
342845.559096,101440,0,101440,0.019859,-0.001183,-9.28528,0.000203,-0.000136,0.0,0.019859,-0.001183,-9.28528,0.000203,-0.000136,0.0,72,72
342845.579197,101460,0,101460,-0.003578,0.006304,-9.278945,-0.000367,9.1e-05,0.0,-0.003578,0.006304,-9.278945,-0.000367,9.1e-05,0.0,73,73
342845.599051,101480,0,101480,-0.012102,0.005221,-9.272379,-0.000503,0.000228,0.0,-0.012102,0.005221,-9.272379,-0.000503,0.000228,0.0,74,74
342845.619087,101500,0,101500,-0.009188,-0.000396,-9.286199,0.000654,0.000286,0.0,-0.009188,-0.000396,-9.286199,0.000654,0.000286,0.0,75,75
342845.639258,101520,0,101520,-0.003576,-0.018323,-9.301365,0.000358,0.000476,0.0,-0.003576,-0.018323,-9.301365,0.000358,0.000476,0.0,76,76
342845.658892,101540,0,101540,0.007082,0.001953,-9.309134,-0.000107,0.000365,0.0,0.007082,0.001953,-9.309134,-0.000107,0.000365,0.0,77,77
342845.679235,101560,0,101560,-0.023909,0.001228,-9.306987,-0.00011,-0.000527,0.0,-0.023909,0.001228,-9.306987,-0.00011,-0.000527,0.0,78,78
342845.699238,101580,0,101580,-0.014001,0.008745,-9.335486,-8.5e-05,7.3e-05,0.0,-0.014001,0.008745,-9.335486,-8.5e-05,7.3e-05,0.0,79,79
342845.719254,101600,0,101600,0.001251,0.016289,-9.311888,0.000101,-0.000116,0.0,0.001251,0.016289,-9.311888,0.000101,-0.000116,0.0,80,80
342845.738811,101620,0,101620,-0.010549,-0.003365,-9.302371,-0.000463,0.000417,0.0,-0.010549,-0.003365,-9.302371,-0.000463,0.000417,0.0,81,81
342845.758837,101640,0,101640,-0.010369,-0.008591,-9.29119,-0.00022,-0.000242,0.0,-0.010369,-0.008591,-9.29119,-0.00022,-0.000242,0.0,82,82
342845.778877,101660,0,101660,0.012799,-0.015234,-9.306774,-0.00044,0.000553,0.0,0.012799,-0.015234,-9.306774,-0.00044,0.000553,0.0,83,83
342845.799129,101680,0,101680,0.008166,-0.02549,-9.319793,0.000379,-0.000391,0.0,0.008166,-0.02549,-9.319793,0.000379,-0.000391,0.0,84,84
342845.818854,101700,0,101700,0.001718,-0.007578,-9.295589,7.8e-05,-0.000382,0.0,0.001718,-0.007578,-9.295589,7.8e-05,-0.000382,0.0,85,85
342845.839241,101720,0,101720,-0.013219,0.001168,-9.298271,-0.000138,0.000807,0.0,-0.013219,0.001168,-9.298271,-0.000138,0.000807,0.0,86,86
342845.859306,101740,0,101740,0.002241,0.016724,-9.280655,-0.000181,-0.000226,0.0,0.002241,0.016724,-9.280655,-0.000181,-0.000226,0.0,87,87
342845.878804,101760,0,101760,0.018481,0.012303,-9.287167,0.000479,-0.000403,0.0,0.018481,0.012303,-9.287167,0.000479,-0.000403,0.0,88,88
342845.899122,101780,0,101780,-0.011877,-0.002006,-9.290134,0.000166,-0.000416,0.0,-0.011877,-0.002006,-9.290134,0.000166,-0.000416,0.0,89,89
342845.919216,101800,0,101800,-0.013097,-0.004733,-9.322092,8.3e-05,8.7e-05,0.0,-0.013097,-0.004733,-9.322092,8.3e-05,8.7e-05,0.0,90,90
342845.939012,101820,0,101820,0.012814,0.002503,-9.294316,-3.5e-05,-8.2e-05,0.0,0.012814,0.002503,-9.294316,-3.5e-05,-8.2e-05,0.0,91,91
342845.959061,101840,0,101840,-0.01492,-0.000833,-9.320413,-0.000143,0.000307,0.0,-0.01492,-0.000833,-9.320413,-0.000143,0.000307,0.0,92,92
342845.979012,101860,0,101860,0.002037,0.032413,-9.316646,6.1e-05,5.8e-05,0.0,0.002037,0.032413,-9.316646,6.1e-05,5.8e-05,0.0,93,93
342845.999261,101880,0,101880,0.006425,-0.005086,-9.304716,0.000151,0.000517,0.0,0.006425,-0.005086,-9.304716,0.000151,0.000517,0.0,94,94
342846.019269,101900,0,101900,0.011506,0.00052,-9.30163,0.000485,7.6e-05,0.0,0.011506,0.00052,-9.30163,0.000485,7.6e-05,0.0,95,95
342846.038895,101920,0,101920,-0.005975,0.008391,-9.305051,0.000215,0.000184,0.0,-0.005975,0.008391,-9.305051,0.000215,0.000184,0.0,96,96
342846.0595,101940,0,101940,0.011131,-0.002377,-9.301133,-0.000295,5e-05,0.0,0.011131,-0.002377,-9.301133,-0.000295,5e-05,0.0,97,97
342846.078998,101960,0,101960,-0.005028,-0.00577,-9.30229,0.000167,-7e-06,0.0,-0.005028,-0.00577,-9.30229,0.000167,-7e-06,0.0,98,98
342846.098849,101980,0,101980,-0.003404,0.023181,-9.295849,-0.000521,0.000105,0.0,-0.003404,0.023181,-9.295849,-0.000521,0.000105,0.0,99,99
342846.119216,102000,0,102000,0.000905,0.020102,-9.289393,-9.6e-05,0.000363,0.0,0.000905,0.020102,-9.289393,-9.6e-05,0.000363,0.0,100,100
342846.139052,102020,0,102020,0.004793,0.000622,-9.301586,0.000337,0.000167,0.0,0.004793,0.000622,-9.301586,0.000337,0.000167,0.0,101,101
342846.158854,102040,0,102040,-0.006186,0.007872,-9.284576,0.000294,-9.9e-05,0.0,-0.006186,0.007872,-9.284576,0.000294,-9.9e-05,0.0,102,102
342846.179249,102060,0,102060,0.003915,0.003932,-9.285104,-3.9e-05,-0.000314,0.0,0.003915,0.003932,-9.285104,-3.9e-05,-0.000314,0.0,103,103
342846.19896,102080,0,102080,-0.001442,-0.010453,-9.298417,8.6e-05,0.000288,0.0,-0.001442,-0.010453,-9.298417,8.6e-05,0.000288,0.0,104,104
342846.218819,102100,0,102100,0.005348,0.002785,-9.274173,-0.000278,-0.000513,0.0,0.005348,0.002785,-9.274173,-0.000278,-0.000513,0.0,105,105
342846.239144,102120,0,102120,-0.012512,-0.016493,-9.293904,0.000365,-0.000247,0.0,-0.012512,-0.016493,-9.293904,0.000365,-0.000247,0.0,106,106
342846.259203,102140,0,102140,-0.027027,0.008139,-9.300216,0.000251,0.000313,0.0,-0.027027,0.008139,-9.300216,0.000251,0.000313,0.0,107,107
342846.279148,102160,0,102160,0.000209,0.000698,-9.287099,-0.000157,-0.000474,0.0,0.000209,0.000698,-9.287099,-0.000157,-0.000474,0.0,108,108
342846.298963,102180,0,102180,0.000494,0.001974,-9.302291,-0.000503,-0.000201,0.0,0.000494,0.001974,-9.302291,-0.000503,-0.000201,0.0,109,109
342846.319097,102200,0,102200,-0.003675,-0.013043,-9.299448,-0.000265,-0.000547,0.0,-0.003675,-0.013043,-9.299448,-0.000265,-0.000547,0.0,110,110
342846.339182,102220,0,102220,-0.006486,0.033899,-9.318336,0.000542,0.000514,0.0,-0.006486,0.033899,-9.318336,0.000542,0.000514,0.0,111,111
342846.35902,102240,0,102240,0.002329,-0.015629,-9.316912,-7.8e-05,-0.000133,0.0,0.002329,-0.015629,-9.316912,-7.8e-05,-0.000133,0.0,112,112
342846.379083,102260,0,102260,-0.000161,0.009795,-9.311382,2.6e-05,-0.000787,0.0,-0.000161,0.009795,-9.311382,2.6e-05,-0.000787,0.0,113,113
342846.398888,102280,0,102280,0.002688,-0.00989,-9.300117,-0.000237,0.000374,0.0,0.002688,-0.00989,-9.300117,-0.000237,0.000374,0.0,114,114
342846.419264,102300,0,102300,0.026969,0.006421,-9.300199,0.000319,-0.000108,0.0,0.026969,0.006421,-9.300199,0.000319,-0.000108,0.0,115,115
342846.438864,102320,0,102320,-0.007556,-0.012104,-9.2931,-7.3e-05,-0.000243,0.0,-0.007556,-0.012104,-9.2931,-7.3e-05,-0.000243,0.0,116,116
342846.459093,102340,0,102340,0.003772,-0.020803,-9.288645,-9.1e-05,0.000335,0.0,0.003772,-0.020803,-9.288645,-9.1e-05,0.000335,0.0,117,117
342846.479202,102360,0,102360,-0.005078,-0.003843,-9.290131,-0.000333,-0.000166,0.0,-0.005078,-0.003843,-9.290131,-0.000333,-0.000166,0.0,118,118
342846.498891,102380,0,102380,-0.009772,-0.012245,-9.291217,6.4e-05,-0.000549,0.0,-0.009772,-0.012245,-9.291217,6.4e-05,-0.000549,0.0,119,119
342846.519048,102400,0,102400,-0.007249,0.015858,-9.297942,0.000283,0.000112,0.0,-0.007249,0.015858,-9.297942,0.000283,0.000112,0.0,120,120
342846.539104,102420,0,102420,-0.003936,-0.001977,-9.298868,-5.6e-05,-0.000742,0.0,-0.003936,-0.001977,-9.298868,-5.6e-05,-0.000742,0.0,121,121
342846.558786,102440,0,102440,0.000932,0.022038,-9.314342,0.000293,-0.000231,0.0,0.000932,0.022038,-9.314342,0.000293,-0.000231,0.0,122,122
342846.579174,102460,0,102460,-0.000664,-0.00119,-9.291417,0.000485,0.000128,0.0,-0.000664,-0.00119,-9.291417,0.000485,0.000128,0.0,123,123
342846.599321,102480,0,102480,-0.006012,-0.018381,-9.308372,8.8e-05,0.000594,0.0,-0.006012,-0.018381,-9.308372,8.8e-05,0.000594,0.0,124,124
342846.619198,102500,0,102500,0.005505,-0.010421,-9.303028,7.8e-05,0.000185,0.0,0.005505,-0.010421,-9.303028,7.8e-05,0.000185,0.0,125,125
342846.638856,102520,0,102520,0.010244,-0.007722,-9.310987,-0.000535,0.000184,0.0,0.010244,-0.007722,-9.310987,-0.000535,0.000184,0.0,126,126
342846.659238,102540,0,102540,0.010997,-0.006941,-9.299218,8.7e-05,-0.000346,0.0,0.010997,-0.006941,-9.299218,8.7e-05,-0.000346,0.0,127,127
342846.679183,102560,0,102560,-0.01117,0.001478,-9.303219,0.000234,0.000445,0.0,-0.01117,0.001478,-9.303219,0.000234,0.000445,0.0,128,128
342846.69886,102580,0,102580,0.003662,0.000506,-9.308068,0.000151,4.8e-05,0.0,0.003662,0.000506,-9.308068,0.000151,4.8e-05,0.0,129,129
342846.719043,102600,0,102600,-0.004789,-0.005648,-9.307317,-0.00038,-0.000318,0.0,-0.004789,-0.005648,-9.307317,-0.00038,-0.000318,0.0,130,130
342846.739139,102620,0,102620,-0.013804,-0.005277,-9.300179,0.00072,-0.00024,0.0,-0.013804,-0.005277,-9.300179,0.00072,-0.00024,0.0,131,131
342846.759068,102640,0,102640,-0.010656,0.028745,-9.29617,-0.000242,0.000759,0.0,-0.010656,0.028745,-9.29617,-0.000242,0.000759,0.0,132,132
342846.778876,102660,0,102660,-0.012166,-0.006784,-9.287733,-7.1e-05,-0.00024,0.0,-0.012166,-0.006784,-9.287733,-7.1e-05,-0.00024,0.0,133,133
342846.799235,102680,0,102680,0.003574,0.00055,-9.293557,2.7e-05,-0.000112,0.0,0.003574,0.00055,-9.293557,2.7e-05,-0.000112,0.0,134,134
342846.819011,102700,0,102700,-0.017648,0.011856,-9.299615,-6.6e-05,0.000349,0.0,-0.017648,0.011856,-9.299615,-6.6e-05,0.000349,0.0,135,135
342846.838868,102720,0,102720,-0.002973,0.004717,-9.29439,0.000475,-0.00043,0.0,-0.002973,0.004717,-9.29439,0.000475,-0.00043,0.0,136,136
342846.859028,102740,0,102740,-0.00132,0.002585,-9.306343,0.000332,9.5e-05,0.0,-0.00132,0.002585,-9.306343,0.000332,9.5e-05,0.0,137,137
342846.879107,102760,0,102760,0.014163,0.003068,-9.306354,0.000223,-0.000274,0.0,0.014163,0.003068,-9.306354,0.000223,-0.000274,0.0,138,138
342846.899138,102780,0,102780,-0.009069,0.022,-9.288188,-1e-05,0.00033,0.0,-0.009069,0.022,-9.288188,-1e-05,0.00033,0.0,139,139
342846.919338,102800,0,102800,0.004258,-0.001869,-9.293632,-0.000561,0.000141,0.0,0.004258,-0.001869,-9.293632,-0.000561,0.000141,0.0,140,140
342846.938842,102820,0,102820,0.006416,0.013215,-9.314891,-5.3e-05,0.000109,0.0,0.006416,0.013215,-9.314891,-5.3e-05,0.000109,0.0,141,141
342846.95916,102840,0,102840,0.016628,0.011879,-9.310341,-0.000693,0.000415,0.0,0.016628,0.011879,-9.310341,-0.000693,0.000415,0.0,142,142
342846.979014,102860,0,102860,-0.018038,0.008916,-9.302164,4.9e-05,-9e-05,0.0,-0.018038,0.008916,-9.302164,4.9e-05,-9e-05,0.0,143,143
342846.999265,102880,0,102880,0.012615,0.01684,-9.30619,0.000525,0.00029,0.0,0.012615,0.01684,-9.30619,0.000525,0.00029,0.0,144,144
342847.018988,102900,0,102900,0.006096,-0.003314,-9.287556,0.000438,9.1e-05,0.0,0.006096,-0.003314,-9.287556,0.000438,9.1e-05,0.0,145,145
342847.038838,102920,0,102920,-0.015267,0.005848,-9.302089,-0.000273,-6.3e-05,0.0,-0.015267,0.005848,-9.302089,-0.000273,-6.3e-05,0.0,146,146
342847.058843,102940,0,102940,0.005994,0.001144,-9.301641,-0.000161,-2.9e-05,0.0,0.005994,0.001144,-9.301641,-0.000161,-2.9e-05,0.0,147,147
342847.078806,102960,0,102960,0.019127,-0.010623,-9.292849,-0.0005,-0.000709,0.0,0.019127,-0.010623,-9.292849,-0.0005,-0.000709,0.0,148,148
342847.099285,102980,0,102980,0.012459,0.011967,-9.294452,0.000434,0.000398,0.0,0.012459,0.011967,-9.294452,0.000434,0.000398,0.0,149,149
342847.119048,103000,0,103000,0.013939,-0.005083,-9.287379,-0.000507,0.000121,0.0,0.013939,-0.005083,-9.287379,-0.000507,0.000121,0.0,150,150
342847.138897,103020,0,103020,0.014473,-0.003991,-9.307277,-0.000234,-0.000205,0.0,0.014473,-0.003991,-9.307277,-0.000234,-0.000205,0.0,151,151
342847.159053,103040,0,103040,0.010365,0.019248,-9.297465,-0.000303,-0.000105,0.0,0.010365,0.019248,-9.297465,-0.000303,-0.000105,0.0,152,152
342847.178906,103060,0,103060,0.008253,0.008769,-9.297153,0.000425,-6.5e-05,0.0,0.008253,0.008769,-9.297153,0.000425,-6.5e-05,0.0,153,153
342847.199012,103080,0,103080,0.009438,0.004067,-9.314262,-0.00061,-0.000503,0.0,0.009438,0.004067,-9.314262,-0.00061,-0.000503,0.0,154,154
342847.219297,103100,0,103100,0.004436,0.018978,-9.300351,0.000246,-0.000556,0.0,0.004436,0.018978,-9.300351,0.000246,-0.000556,0.0,155,155
342847.239045,103120,0,103120,-0.017778,-0.018693,-9.306945,0.000531,0.000428,0.0,-0.017778,-0.018693,-9.306945,0.000531,0.000428,0.0,156,156
342847.259125,103140,0,103140,-0.00187,-0.00184,-9.293813,1.6e-05,9.8e-05,0.0,-0.00187,-0.00184,-9.293813,1.6e-05,9.8e-05,0.0,157,157
342847.279067,103160,0,103160,-0.011878,0.013155,-9.299426,-0.000119,-0.000273,0.0,-0.011878,0.013155,-9.299426,-0.000119,-0.000273,0.0,158,158
342847.299029,103180,0,103180,-0.00094,0.016313,-9.318272,-0.000193,-0.00064,0.0,-0.00094,0.016313,-9.318272,-0.000193,-0.00064,0.0,159,159
342847.319285,103200,0,103200,-0.011524,0.003124,-9.311391,3.7e-05,-0.000136,0.0,-0.011524,0.003124,-9.311391,3.7e-05,-0.000136,0.0,160,160
342847.339236,103220,0,103220,0.010791,-0.002662,-9.283526,-0.000521,-3.4e-05,0.0,0.010791,-0.002662,-9.283526,-0.000521,-3.4e-05,0.0,161,161
342847.359073,103240,0,103240,-0.003809,0.010601,-9.30724,-0.000567,-0.000144,0.0,-0.003809,0.010601,-9.30724,-0.000567,-0.000144,0.0,162,162
342847.379221,103260,0,103260,0.002058,-0.001859,-9.304895,-5.8e-05,0.000247,0.0,0.002058,-0.001859,-9.304895,-5.8e-05,0.000247,0.0,163,163
342847.399039,103280,0,103280,-0.003666,0.029668,-9.30007,0.000368,-0.000672,0.0,-0.003666,0.029668,-9.30007,0.000368,-0.000672,0.0,164,164
342847.419174,103300,0,103300,0.002678,0.012544,-9.310285,-0.000141,0.000175,0.0,0.002678,0.012544,-9.310285,-0.000141,0.000175,0.0,165,165
